post_id,filename,description,likes,comments,views
"1023303687866576916","2015-07-06_1023303687866576916.jpg","#Neck #Corset #Piercing by #GinaCarbonePiercings at #AlbanyModernBodyArt #TragicEmpire #BodyModification","7","0","0"
"1023311946501484904","2015-07-06_1023311946501484904.jpg","Piercings by #GinaCarbonePiercings #Piercing #BodyModification done at #AlbanyModernBodyArt","13","0","0"
"1023944190232522754","2015-07-07_1023944190232522754.jpg","Come in today to see me for all your piercing needs or ideas.#AlbanyModernBodyArt  #BodyModification #GinaCarbonePiercings","2","0","0"
"1025441895358296734","2015-07-09_1025441895358296734.jpg","Come on in and visit and get something new. #shockertattoo #GinaCarbonePiercings  #impactalbany #TragicEmpire  #piercings #BodyModification","3","2","0"
"1026159929240744036","2015-07-10_1026159929240744036.jpg","FLASHBACK TO 2013 #Skinart magazine #PublishedPiercer #GinaCarbonePiercings  #impactalbany #BodyModification #Piercing #AlbanyModernBodyArt #shockertattoo  #TragicEmpire #Corset #EarCorset","5","0","0"
"1026183650244457302","2015-07-10_1026183650244457302.jpg","","9","2","0"
"1027071684821283354","2015-07-12_1027071684821283354.jpg","Cute little addition to this tattoo done by #GinaCarbonePiercings  at #shockertattoo #BodyModification #Piercing #TragicEmpire #impactalbany","4","1","0"
"1030582304719925814","2015-07-16_1030582304719925814.jpg","Vertical conch done at #shockertattoo #BodyModification #Piercing #TragicEmpire #GinaCarbonePiercings","5","1","0"
"1033371371572458090","2015-07-20_1033371371572458090.jpg","Daith, conch, and tragus done by #GinaCarbonePiercings at #albanymodernbodyart #TragicEmpire #BodyModification #Piercing #PublishedPiercer #impactalbany","15","4","0"
"1033552259027464423","2015-07-20_1033552259027464423.jpg","#Piercing done by #GinaCarbonePiercings at #AlbanyModernBodyArt #BodyModification #TragicEmpire #impactalbany #PublishedPiercer","4","2","0"
"1034080731701342253","2015-07-21_1034080731701342253.jpg","Please don't everbplay with your new piercings it is very bad. Lol","12","0","0"
"1035777921272410402","2015-07-24_1035777921272410402.jpg","Triple stars done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #impactalbany","12","0","0"
"1040909413828948306","2015-07-31_1040909413828948306.jpg","Double forward helix done at #AlbanyModernBodyArt by #GinaCarbonePiercings on an amazing client. #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","13","0","0"
"1049465083415130173","2015-08-11_1049465083415130173.jpg","Tongue web done by #GinaCarbonePiercings at #AlbanyModernBodyArt #BodyModification #TragicEmpire #impactalbany #Piercing #PublishedPiercer","6","0","0"
"1049465884577525844","2015-08-11_1049465884577525844.jpg","Triple Helix done at #AlbanyModernBodyArt by #GinaCarbonePiercings #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire #piercings","13","0","0"
"1056695729476759595","2015-08-21_1056695729476759595.jpg","Double cartilage done at #AlbanyModernBodyArt by #GinaCarbonePiercings #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","6","0","0"
"1059686061390852359","2015-08-26_1059686061390852359.jpg","Clevage dermal done at #AlbanyModernBodyArt by #GinaCarbonePiercings #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","10","2","0"
"1061715980610335567","2015-08-28_1061715980610335567.jpg","Chest dermal done at #AlbanyModernBodyArt by #GinaCarbonePiercings #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","6","0","0"
"1061748888003834581","2015-08-28_1061748888003834581.jpg","Clavical dermal done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","8","0","0"
"1064602017187656314","2015-09-01_1064602017187656314.jpg","Nostril piercing done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","4","0","0"
"1066220273967198213","2015-09-04_1066220273967198213.jpg","High nostrils and dimples done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","7","0","0"
"1070364080140874379","2015-09-09_1070364080140874379.jpg","Sternum dermal done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","3","0","0"
"1070375016755000276","2015-09-09_1070375016755000276.jpg","Rook piercing done at #AlbanyModernBodyArt by #GinaCarbonePiercings #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","9","0","0"
"1071073830834959324","2015-09-10_1071073830834959324.jpg","","16","0","0"
"1074687426970153669","2015-09-15_1074687426970153669.jpg","Industrial done at #AlbanyModernBodyArt by #GinaCarbonePiercings on an awesome guy from Brazil. #Piercing #PublishedPiercer #impactalbany #TragicEmpire","6","0","0"
"1077852358481965892","2015-09-20_1077852358481965892.jpg","Things are getting a little spooky and strange. #AlbanyModernBodyArt #BodyModification #TragicEmpire #impactalbany #tattoo #shoplife","5","0","0"
"1090876154579153295","2015-10-08_1090876154579153295.jpg","#finger dermal done at #albanymodernbodyart by #GinaCarbonePiercings unusual for me to do one of these in this location, but she healed well the first time. #Piercing #PublishedPiercer #impactalbany #TragicEmpire #piercings #BodyModification","10","3","0"
"1092308435491516878","2015-10-10_1092308435491516878.jpg","Industrial done at #AlbanyModernBodyArt by #GinaCarbonePiercings on @tylercourt #TragicEmpire #BodyModification #Piercing #PublishedPiercer #impactalbany","8","0","0"
"1092309493009773029","2015-10-10_1092309493009773029.jpg","Industrial done at #AlbanyModernBodyArt by #GinaCarbonePiercings on @analisamahler #Piercing #PublishedPiercer #impactalbany #TragicEmpire #piercings","17","0","0"
"1096684625014714840","2015-10-16_1096684625014714840.jpg","Eye dermal done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire","4","0","0"
"1096693462614569681","2015-10-16_1096693462614569681.jpg","Cartilage flat done at  #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #Piercing #PublishedPiercer #impactalbany #TragicEmpire #piercings","6","2","0"
"1101569579787907903","2015-10-22_1101569579787907903.jpg","People who gauge at home the wrong way..keep looking like fools.","8","5","0"
"1101625927837839679","2015-10-22_1101625927837839679.jpg","Eyebrow piercing done on @keeezyx at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","6","0","0"
"1111070252866892629","2015-11-04_1111070252866892629.jpg","New conch piercing on miss @mia9706 at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","8","0","0"
"1111690720535802636","2015-11-05_1111690720535802636.jpg","This is a one time only event. So come on in and get a beautiful new piercing. Any questions please call #albanymodernbodyart","6","0","0"
"1113319987153629827","2015-11-08_1113319987153629827.jpg","Pierced flat of miss @mia9706 done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","11","0","0"
"1128457803550323631","2015-11-28_1128457803550323631.jpg","Vetical labret done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","7","1","0"
"1128586782416466501","2015-11-29_1128586782416466501.jpg","One of my favorite clients. Miss @mia9706 all piercings done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","11","1","0"
"1128587392033387098","2015-11-29_1128587392033387098.jpg","Finger dermal done on @mia9706 at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","8","0","0"
"1132879076598640922","2015-12-04_1132879076598640922.jpg","Bridge done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","7","0","0"
"1132879978105565486","2015-12-04_1132879978105565486.jpg","Septum done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","7","2","0"
"1141453998258287008","2015-12-16_1141453998258287008.jpg","Daith do at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","6","0","0"
"1141454353197068711","2015-12-16_1141454353197068711.jpg","Daith done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","10","1","0"
"1153130605326791148","2016-01-01_1153130605326791148.jpg","Fresh eyebrow piercing done at #albanymodernbodyart by #ginacarbonepiercings on @trippysophh #Piercing #PublishedPiercer #impactalbany #TragicEmpire","7","1","0"
"1156095816547594723","2016-01-06_1156095816547594723.jpg","Different spin on a conch piercing done at #albanymodernbodyart on @dougfunny224 by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #guyswithpiercings","5","1","0"
"1156096986028601863","2016-01-06_1156096986028601863.jpg","Vertical conch done at #albanymodernbodyart on miss @mia9706 by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #nofilter","11","0","0"
"1156691218426655257","2016-01-06_1156691218426655257.jpg","Rook piercing on an amazing client from Jamaica done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #nofilter","8","0","0"
"1157404699249505037","2016-01-07_1157404699249505037.jpg","Anti-tragus done on Miss @maryraiti done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","5","2","0"
"1158252638201082703","2016-01-09_1158252638201082703.jpg","Industrial piercing done on Miss @queen__kayyyy at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","7","2","0"
"1158350728929112369","2016-01-09_1158350728929112369.jpg","Smiley done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany","8","1","0"
"1162513693701992928","2016-01-14_1162513693701992928.jpg","Got the pleasure of piercing the bestest of friends, cause they are cousins. Navals done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #nofilter #cousins #everythingtogether #girlswithpiercings","13","3","0"
"1163259192516178419","2016-01-15_1163259192516178419.jpg","Double helix done at #albanymodernbodyart on @brittanyyp by #ginacarbonepiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #hardcore ","9","0","0"
"1163261000722575925","2016-01-15_1163261000722575925.jpg","Triple flat on both ears done at #albanymodernbodyart by #GinaCarbonePiercings on @shannon_rt #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #hardcore ","17","2","0"
"1171915888457314939","2016-01-27_1171915888457314939.jpg","Rook piercing done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #hardcore #girlswithpiercings ","11","0","0"
"1172583171445912334","2016-01-28_1172583171445912334.jpg","Daith done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #nofilter #girlswithpiercings ","12","0","0"
"1172636706501980407","2016-01-28_1172636706501980407.jpg","Lobal punches at 6mm done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #guyswithpiercings ","8","1","0"
"1174238803139916419","2016-01-31_1174238803139916419.jpg","Cartilage done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #hardcore #girlswithpiercings","3","0","0"
